#AGGR_TYPE_CD,S_MTCU,OCCPTN_GRP_CD,OCCPTN_SGRP_CD,NOC_CODE_RANK,NOC_CODE_PERCENTAGE,NOC_CODE_CODE,NOC_DESCRIPTION_ENGLISH,NOC_DESCRIPTION_FRENCH
Program,A-60261,B,B18,2,8,2272,Air traffic controllers and related occupations,Contrôleurs aériens/contrôleuses aériennes et personnel assimilé
Program,A-60261,B,B18,4,6,6523,Airline ticket and service agents,Agents/agentes à la billetterie et aux services aériens
Program,A-60261,B,B18,4,6,7315,Aircraft mechanics and aircraft inspectors,Mécaniciens/mécaniciennes et contrôleurs/contrôleuses d'aéronefs
Program,A-60261,B,B18,1,9,7534,Air transport ramp attendants,Agents/agentes de piste dans le transport aérien
Program,A-60262,B,B18,4,7,1411,General office support workers,Employés de soutien de bureau généraux/employées de soutien de bureau générales
Program,A-60262,B,B18,1,13,1525,Dispatchers,Répartiteurs/répartitrices
Program,A-60262,B,B18,4,7,2263,Inspectors in public and environmental health and occupational health and safety,"Inspecteurs/inspectrices de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail"
Program,A-60262,B,B18,1,13,2272,Air traffic controllers and related occupations,Contrôleurs aériens/contrôleuses aériennes et personnel assimilé
Program,A-60262,B,B18,4,7,4021,College and other vocational instructors,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle
Program,A-60262,B,B18,4,7,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60262,B,B18,4,7,6523,Airline ticket and service agents,Agents/agentes à la billetterie et aux services aériens
Program,A-60262,B,B18,4,7,6541,Security guards and related security service occupations,Agents/agentes de sécurité et personnel assimilé des services de sécurité
Program,A-60262,B,B18,4,7,7452,Material handlers,Manutentionnaires
Program,A-60262,B,B18,4,7,7521,Heavy equipment operators (except crane),Conducteurs/conductrices d'équipement lourd (sauf les grues)
Program,A-60262,B,B18,1,13,7534,Air transport ramp attendants,Agents/agentes de piste dans le transport aérien
Program,A-60262,B,B18,4,7,7611,Construction trades helpers and labourers,Aides de soutien des métiers et manoeuvres en construction
Program,A-60272,B,B01,3,8,631,Restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires
Program,A-60272,B,B01,3,8,1312,Insurance adjusters and claims examiners,Experts/expertes en sinistres et rédacteurs/rédactrices sinistres
Program,A-60272,B,B01,3,8,1414,Receptionists,Réceptionnistes
Program,A-60272,B,B01,1,23,2175,Web designers and developers,Concepteurs/conceptrices et développeurs/développeuses Web
Program,A-60272,B,B01,3,8,2242,Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux)
Program,A-60272,B,B01,3,8,2281,Computer network technicians,Techniciens/techniciennes de réseau informatique
Program,A-60272,B,B01,3,8,5241,Graphic designers and illustrators,Designers graphiques et illustrateurs/illustratrices
Program,A-60272,B,B01,2,15,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60272,B,B01,3,8,6551,Customer services representatives - financial institutions,Représentants/représentantes au service à la clientèle - institutions financières
Program,A-60272,B,B01,3,8,6552,Other customer and information services representatives,Autres préposés/autres préposées aux services d'information et aux services à la clientèle
Program,A-60500,B,B01,4,5,714,Facility operation and maintenance managers,Directeurs/directrices de l'exploitation et de l'entretien d'immeubles
Program,A-60500,B,B01,4,5,1221,Administrative officers,Agents/agentes d'administration
Program,A-60500,B,B01,4,5,1411,General office support workers,Employés de soutien de bureau généraux/employées de soutien de bureau générales
Program,A-60500,B,B01,2,10,1523,Production logistics co-ordinators,Coordonnateurs/coordonnatrices de la logistique de la production
Program,A-60500,B,B01,4,5,2173,Software engineers and designers,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel
Program,A-60500,B,B01,4,5,2175,Web designers and developers,Concepteurs/conceptrices et développeurs/développeuses Web
Program,A-60500,B,B01,4,5,2242,Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux)
Program,A-60500,B,B01,2,10,2281,Computer network technicians,Techniciens/techniciennes de réseau informatique
Program,A-60500,B,B01,1,20,2282,User support technicians,Agents/agentes de soutien aux utilisateurs
Program,A-60500,B,B01,4,5,6211,Retail sales supervisors,Superviseurs/superviseures des ventes - commerce de détail
Program,A-60500,B,B01,4,5,6221,Technical sales specialists - wholesale trade,Spécialistes des ventes techniques - commerce de gros
Program,A-60500,B,B01,4,5,6411,Sales and account representatives - wholesale trade (non-technical),Représentants/représentantes des ventes et des comptes - commerce de gros (non-technique)
Program,A-60500,B,B01,4,5,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60500,B,B01,4,5,6552,Other customer and information services representatives,Autres préposés/autres préposées aux services d'information et aux services à la clientèle
Program,A-60500,B,B01,4,5,9611,Labourers in mineral and metal processing,Manoeuvres dans le traitement des métaux et des minerais
Program,A-60503,B,B01,3,8,2171,Information systems analysts and consultants,Analystes et consultants/consultantes en informatique
Program,A-60503,B,B01,5,2,2173,Software engineers and designers,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel
Program,A-60503,B,B01,1,49,2174,Computer programmers and interactive media developers,Programmeurs/programmeuses et développeurs/développeuses en médias interactifs
Program,A-60503,B,B01,2,10,2175,Web designers and developers,Concepteurs/conceptrices et développeurs/développeuses Web
Program,A-60503,B,B01,4,5,2282,User support technicians,Agents/agentes de soutien aux utilisateurs
Program,A-60504,T,T06,3,10,2173,Software engineers and designers,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel
Program,A-60504,T,T06,1,47,2174,Computer programmers and interactive media developers,Programmeurs/programmeuses et développeurs/développeuses en médias interactifs
Program,A-60504,T,T06,2,11,2175,Web designers and developers,Concepteurs/conceptrices et développeurs/développeuses Web
Program,A-60504,T,T06,5,4,2281,Computer network technicians,Techniciens/techniciennes de réseau informatique
Program,A-60504,T,T06,4,5,2282,User support technicians,Agents/agentes de soutien aux utilisateurs
Program,A-60505,T,T06,4,10,2171,Information systems analysts and consultants,Analystes et consultants/consultantes en informatique
Program,A-60505,T,T06,3,11,2174,Computer programmers and interactive media developers,Programmeurs/programmeuses et développeurs/développeuses en médias interactifs
Program,A-60505,T,T06,5,4,2242,Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux)
Program,A-60505,T,T06,2,19,2281,Computer network technicians,Techniciens/techniciennes de réseau informatique
Program,A-60505,T,T06,1,25,2282,User support technicians,Agents/agentes de soutien aux utilisateurs
Program,A-60509,T,T06,5,5,2171,Information systems analysts and consultants,Analystes et consultants/consultantes en informatique
Program,A-60509,T,T06,1,23,2174,Computer programmers and interactive media developers,Programmeurs/programmeuses et développeurs/développeuses en médias interactifs
Program,A-60509,T,T06,4,5,2242,Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux)
Program,A-60509,T,T06,3,11,2281,Computer network technicians,Techniciens/techniciennes de réseau informatique
Program,A-60509,T,T06,2,18,2282,User support technicians,Agents/agentes de soutien aux utilisateurs
Program,A-60513,B,B01,5,5,2171,Information systems analysts and consultants,Analystes et consultants/consultantes en informatique
Program,A-60513,B,B01,2,14,2174,Computer programmers and interactive media developers,Programmeurs/programmeuses et développeurs/développeuses en médias interactifs
Program,A-60513,B,B01,1,33,2175,Web designers and developers,Concepteurs/conceptrices et développeurs/développeuses Web
Program,A-60513,B,B01,3,10,2282,User support technicians,Agents/agentes de soutien aux utilisateurs
Program,A-60513,B,B01,4,7,5241,Graphic designers and illustrators,Designers graphiques et illustrateurs/illustratrices
Program,A-60513,B,B01,5,5,6552,Other customer and information services representatives,Autres préposés/autres préposées aux services d'information et aux services à la clientèle
Program,A-60513,B,B01,5,5,6611,Cashiers,Caissiers/caissières
Program,A-60518,T,T06,4,11,1221,Administrative officers,Agents/agentes d'administration
Program,A-60518,T,T06,1,22,2171,Information systems analysts and consultants,Analystes et consultants/consultantes en informatique
Program,A-60518,T,T06,1,22,2173,Software engineers and designers,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel
Program,A-60518,T,T06,1,22,2174,Computer programmers and interactive media developers,Programmeurs/programmeuses et développeurs/développeuses en médias interactifs
Program,A-60518,T,T06,4,11,2175,Web designers and developers,Concepteurs/conceptrices et développeurs/développeuses Web
Program,A-60518,T,T06,4,11,6552,Other customer and information services representatives,Autres préposés/autres préposées aux services d'information et aux services à la clientèle
Program,A-60600,T,T01,3,8,711,Construction managers,Directeurs/directrices de la construction
Program,A-60600,T,T01,4,4,2234,Construction estimators,Estimateurs/estimatrices en construction
Program,A-60600,T,T01,1,35,2251,Architectural technologists and technicians,Technologues et techniciens/techniciennes en architecture
Program,A-60600,T,T01,2,17,2253,Drafting technologists and technicians,Technologues et techniciens/techniciennes en dessin
Program,A-60600,T,T01,5,4,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60701,A,A13,1,49,4212,Social and community service workers,Travailleurs/travailleuses des services sociaux et communautaires
Program,A-60701,A,A13,2,8,4214,Early childhood educators and assistants,Éducateurs/éducatrices et aides-éducateurs/aides-éducatrices de la petite enfance
Program,A-60701,A,A13,5,3,4215,Instructors of persons with disabilities,Instructeurs/instructrices pour personnes ayant une déficience
Program,A-60701,A,A13,3,7,4413,Elementary and secondary school teacher assistants,Aides-enseignants/aides-enseignantes aux niveaux primaire et secondaire
Program,A-60701,A,A13,4,4,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60719,A,A17,5,4,3413,"Nurse aides, orderlies and patient service associates","Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires"
Program,A-60719,A,A17,4,5,4151,Psychologists,Psychologues
Program,A-60719,A,A17,3,6,4153,"Family, marriage and other related counsellors","Thérapeutes conjugaux/thérapeutes conjugales, thérapeutes familiaux/thérapeutes familiales et autres conseillers assimilés/conseillères assimilées"
Program,A-60719,A,A17,2,20,4212,Social and community service workers,Travailleurs/travailleuses des services sociaux et communautaires
Program,A-60719,A,A17,1,36,4215,Instructors of persons with disabilities,Instructeurs/instructrices pour personnes ayant une déficience
Program,A-60735,A,A17,2,4,3413,"Nurse aides, orderlies and patient service associates","Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires"
Program,A-60735,A,A17,2,4,4212,Social and community service workers,Travailleurs/travailleuses des services sociaux et communautaires
Program,A-60735,A,A17,1,79,5125,"Translators, terminologists and interpreters","Traducteurs/traductrices, terminologues et interprètes"
Program,A-60735,A,A17,2,4,6211,Retail sales supervisors,Superviseurs/superviseures des ventes - commerce de détail
Program,A-60735,A,A17,2,4,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60735,A,A17,2,4,6513,Food and beverage servers,Serveurs/serveuses d'aliments et de boissons
Program,A-60807,A,A05,5,4,1123,"Professional occupations in advertising, marketing and public relations","Professionnels/professionnelles en publicité, en marketing et en relations publiques"
Program,A-60807,A,A05,3,5,1241,Administrative assistants,Adjoints administratifs/adjointes administratives
Program,A-60807,A,A05,3,5,1411,General office support workers,Employés de soutien de bureau généraux/employées de soutien de bureau générales
Program,A-60807,A,A05,5,4,5113,Archivists,Archivistes
Program,A-60807,A,A05,1,29,5212,Technical occupations related to museums and art galleries,Personnel technique des musées et des galeries d'art
Program,A-60807,A,A05,2,16,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-60807,A,A05,5,4,6513,Food and beverage servers,Serveurs/serveuses d'aliments et de boissons
Program,A-61003,T,T04,2,6,711,Construction managers,Directeurs/directrices de la construction
Program,A-61003,T,T04,1,42,2231,Civil engineering technologists and technicians,Technologues et techniciens/techniciennes en génie civil
Program,A-61003,T,T04,5,4,2234,Construction estimators,Estimateurs/estimatrices en construction
Program,A-61003,T,T04,4,5,2253,Drafting technologists and technicians,Technologues et techniciens/techniciennes en dessin
Program,A-61003,T,T04,3,6,2264,Construction inspectors,Inspecteurs/inspectrices en construction
Program,A-61007,T,T09,4,3,2132,Mechanical engineers,Ingénieurs mécaniciens/ingénieures mécaniciennes
Program,A-61007,T,T09,1,39,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-61007,T,T09,2,7,2233,Industrial engineering and manufacturing technologists and technicians,Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication
Program,A-61007,T,T09,5,2,2241,Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électronique et électrique
Program,A-61007,T,T09,3,6,2253,Drafting technologists and technicians,Technologues et techniciens/techniciennes en dessin
Program,A-61011,T,T08,5,2,2174,Computer programmers and interactive media developers,Programmeurs/programmeuses et développeurs/développeuses en médias interactifs
Program,A-61011,T,T08,5,2,2231,Civil engineering technologists and technicians,Technologues et techniciens/techniciennes en génie civil
Program,A-61011,T,T08,2,7,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-61011,T,T08,5,2,2233,Industrial engineering and manufacturing technologists and technicians,Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication
Program,A-61011,T,T08,3,6,2241,Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électronique et électrique
Program,A-61011,T,T08,4,3,2242,Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux)
Program,A-61011,T,T08,1,51,2243,Industrial instrument technicians and mechanics,Techniciens/techniciennes et mécaniciens/mécaniciennes d'instruments industriels
Program,A-61011,T,T08,5,2,6221,Technical sales specialists - wholesale trade,Spécialistes des ventes techniques - commerce de gros
Program,A-61011,T,T08,5,2,6622,"Store shelf stockers, clerks and order fillers","Garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins"
Program,A-61011,T,T08,5,2,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des autres métiers de la construction et des services de réparation et d'installation
Program,A-61011,T,T08,5,2,7313,Refrigeration and air conditioning mechanics,Mécaniciens/mécaniciennes en réfrigération et en climatisation
Program,A-61011,T,T08,5,2,9241,Power engineers and power systems operators,Mécaniciens/mécaniciennes de centrales et opérateurs/opératrices de réseaux énergiques
Program,A-61020,T,T09,4,7,2233,Industrial engineering and manufacturing technologists and technicians,Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication
Program,A-61020,T,T09,1,14,2241,Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électronique et électrique
Program,A-61020,T,T09,2,11,2282,User support technicians,Agents/agentes de soutien aux utilisateurs
Program,A-61020,T,T09,2,11,3414,Other assisting occupations in support of health services,Autre personnel de soutien des services de santé
Program,A-61020,T,T09,4,7,6611,Cashiers,Caissiers/caissières
Program,A-61021,T,T09,2,15,2232,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique
Program,A-61021,T,T09,3,4,2233,Industrial engineering and manufacturing technologists and technicians,Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication
Program,A-61021,T,T09,1,19,2241,Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électronique et électrique
Program,A-61021,T,T09,5,3,2242,Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux)
Program,A-61021,T,T09,3,4,7311,Construction millwrights and industrial mechanics,Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles
Program,A-61301,T,T03,4,3,621,Retail and wholesale trade managers,Directeurs/directrices - commerce de détail et de gros
Program,A-61301,T,T03,1,36,2211,Chemical technologists and technicians,Technologues et techniciens/techniciennes en chimie
Program,A-61301,T,T03,5,3,2212,Geological and mineral technologists and technicians,Technologues et techniciens/techniciennes en géologie et en minéralogie
Program,A-61301,T,T03,3,4,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-61301,T,T03,2,4,9232,"Petroleum, gas and chemical process operators",Opérateurs/opératrices de salle de commande centrale dans le raffinage du pétrole et le traitement du gaz et des produits chimiques
Program,A-61302,T,T03,1,30,2211,Chemical technologists and technicians,Technologues et techniciens/techniciennes en chimie
Program,A-61302,T,T03,3,4,2221,Biological technologists and technicians,Technologues et techniciens/techniciennes en biologie
Program,A-61302,T,T03,2,6,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-61302,T,T03,3,4,6552,Other customer and information services representatives,Autres préposés/autres préposées aux services d'information et aux services à la clientèle
Program,A-61302,T,T03,3,4,6711,"Food counter attendants, kitchen helpers and related support occupations","Serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé"
Program,A-61303,T,T03,5,2,2148,"Other professional engineers, n.e.c.","Autres ingénieurs/ingénieures, n.c.a."
Program,A-61303,T,T03,1,51,2241,Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électronique et électrique
Program,A-61303,T,T03,4,3,2242,Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux)
Program,A-61303,T,T03,2,4,3219,Other medical technologists and technicians (except dental health),Autres technologues et techniciens/techniciennes des sciences de la santé (sauf soins dentaires)
Program,A-61303,T,T03,5,2,6611,Cashiers,Caissiers/caissières
Program,A-61303,T,T03,2,4,6711,"Food counter attendants, kitchen helpers and related support occupations","Serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé"
Program,A-61303,T,T03,5,2,7232,Tool and die makers,Outilleurs-ajusteurs/outilleuses-ajusteuses
Program,A-61303,T,T03,5,2,9523,"Electronics assemblers, fabricators, inspectors and testers","Assembleurs/assembleuses, monteurs/monteuses, contrôleurs/contrôleuses et vérificateurs/vérificatrices de matériel électronique"
Program,A-61304,T,T03,1,17,2211,Chemical technologists and technicians,Technologues et techniciens/techniciennes en chimie
Program,A-61304,T,T03,2,17,2221,Biological technologists and technicians,Technologues et techniciens/techniciennes en biologie
Program,A-61304,T,T03,4,5,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-61304,T,T03,3,8,6611,Cashiers,Caissiers/caissières
Program,A-61304,T,T03,4,5,6711,"Food counter attendants, kitchen helpers and related support occupations","Serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé"
Program,A-61603,H,H02,5,1,3114,Veterinarians,Vétérinaires
Program,A-61603,H,H02,1,81,3213,Animal health technologists and veterinary technicians,Technologues en santé animale et techniciens/techniciennes vétérinaires
Program,A-61603,H,H02,2,3,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-61603,H,H02,5,1,6525,Hotel front desk clerks,Réceptionnistes d'hôtel
Program,A-61603,H,H02,3,2,6563,Pet groomers and animal care workers,Soigneurs/soigneuses d'animaux et travailleurs/travailleuses en soins des animaux
Program,A-61603,H,H02,5,1,6611,Cashiers,Caissiers/caissières
Program,A-61603,H,H02,4,2,6711,"Food counter attendants, kitchen helpers and related support occupations","Serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé"
Program,A-61605,H,H03,4,2,3211,Medical laboratory technologists,Technologues de laboratoires médicaux
Program,A-61605,H,H03,1,78,3215,Medical radiation technologists,Technologues en radiation médicale
Program,A-61605,H,H03,2,2,6421,Retail salespersons,Vendeurs/vendeuses - commerce de détail
Program,A-61605,H,H03,4,2,6513,Food and beverage servers,Serveurs/serveuses d'aliments et de boissons
Program,A-61605,H,H03,4,2,6611,Cashiers,Caissiers/caissières
Program,A-61605,H,H03,3,2,6711,"Food counter attendants, kitchen helpers and related support occupations","Serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé"
Program,A-61607,H,H03,4,1,621,Retail and wholesale trade managers,Directeurs/directrices - commerce de détail et de gros
Program,A-61607,H,H03,4,1,1221,Administrative officers,Agents/agentes d'administration
Program,A-61607,H,H03,4,1,2281,Computer network technicians,Techniciens/techniciennes de réseau informatique
Program,A-61607,H,H03,4,1,3215,Medical radiation technologists,Technologues en radiation médicale
Program,A-61607,H,H03,2,7,3221,Denturists,Denturologistes
Program,A-61607,H,H03,1,82,3223,"Dental technologists, technicians and laboratory assistants",Technologues et techniciens/techniciennes dentaires et auxiliaires dans les laboratoires dentaires
Program,A-61607,H,H03,4,1,3233,Licensed practical nurses,Infirmiers auxiliaires/infirmières auxiliaires
Program,A-61607,H,H03,3,3,3411,Dental assistants,Assistants/assistantes dentaires
Program,A-61607,H,H03,4,1,6711,"Food counter attendants, kitchen helpers and related support occupations","Serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé"
Program,A-61608,H,H03,3,7,1414,Receptionists,Réceptionnistes
Program,A-61608,H,H03,2,27,3211,Medical laboratory technologists,Technologues de laboratoires médicaux
Program,A-61608,H,H03,1,40,3212,Medical laboratory technicians and pathologists' assistants,Techniciens/techniciennes de laboratoire médical et assistants/assistantes en pathologie
Program,A-61608,H,H03,3,7,6231,Insurance agents and brokers,Agents/agentes et courtiers/courtières d'assurance
Program,A-61608,H,H03,3,7,6541,Security guards and related security service occupations,Agents/agentes de sécurité et personnel assimilé des services de sécurité
Program,A-61608,H,H03,3,7,6611,Cashiers,Caissiers/caissières
Program,A-61608,H,H03,3,7,7452,Material handlers,Manutentionnaires
Program,A-61609,H,H03,5,0,1522,Storekeepers and partspersons,Magasiniers/magasinières et commis aux pièces
Program,A-61609,H,H03,5,0,2221,Biological technologists and technicians,Technologues et techniciens/techniciennes en biologie
Program,A-61609,H,H03,1,77,3211,Medical laboratory technologists,Technologues de laboratoires médicaux
Program,A-61609,H,H03,2,17,3212,Medical laboratory technicians and pathologists' assistants,Techniciens/techniciennes de laboratoire médical et assistants/assistantes en pathologie
Program,A-61609,H,H03,5,0,4033,Educational counsellors,Conseillers/conseillères en information scolaire
