College Name,MTCU Title,Head Count - Fall,MTCU CODE,Program Code,,,
Loyalist College,Preparatory Health Sciences,84,41601,C-41601,,,
Mohawk College,Preparatory Health Sciences,236,41601,C-41601,,,
Niagara College,Preparatory Health Sciences,292,41601,C-41601,,,
Northern College,Preparatory Health Sciences,30,41601,C-41601,,,
Sault College,Preparatory Health Sciences,89,41601,C-41601,,,
Seneca College,Preparatory Health Sciences,128,41601,C-41601,,,
Sir Sandford Fleming College,Preparatory Health Sciences,64,41601,C-41601,,,
St. Clair College,Preparatory Health Sciences,518,41601,C-41601,,,
St. Lawrence College,Preparatory Health Sciences,127,41601,C-41601,,,
Northern College,Animal Grooming,23,41602,C-41602,,,
Algonquin College,Animal Care,35,41603,C-41603,,,
Durham College,Animal Care,97,41603,C-41603,,,
Georgian College,Animal Care,N/A,41603,C-41603,,,
Northern College,Animal Care,38,41603,C-41603,,,
Sheridan College,Animal Care,77,41603,C-41603,,,
St. Lawrence College,Animal Care,54,41603,C-41603,,,
Algonquin College,Radiation Safety,21,41605,C-41605,,,
Centennial College,Medical Laboratory Assistant,72,41609,C-41609,,,
Confederation College,Medical Laboratory Assistant,28,41609,C-41609,,,
Northern College,Medical Laboratory Assistant,14,41609,C-41609,,,
St. Clair College,Medical Laboratory Assistant,30,41609,C-41609,,,
St. Lawrence College,Medical Laboratory Assistant,42,41609,C-41609,,,
College Boreal,Retail Pharmacy Assistant,N/A,41624,C-41624,,,
Lambton College,Retail Pharmacy Assistant,N/A,41624,C-41624,,,
Niagara College,Retail Pharmacy Assistant,16,41624,C-41624,,,
Sheridan College,Retail Pharmacy Assistant,14,41624,C-41624,,,
Algonquin College,Dental Assisting (levels I And Ii),26,41629,C-41629,,,
Cambrian College,Dental Assisting (levels I And Ii),N/A,41629,C-41629,,,
College Boreal,Dental Assisting (levels I And Ii),N/A,41629,C-41629,,,
Confederation College,Dental Assisting (levels I And Ii),13,41629,C-41629,,,
Durham College,Dental Assisting (levels I And Ii),88,41629,C-41629,,,
Fanshawe College,Dental Assisting (levels I And Ii),48,41629,C-41629,,,
George Brown College,Dental Assisting (levels I And Ii),158,41629,C-41629,,,
Georgian College,Dental Assisting (levels I And Ii),44,41629,C-41629,,,
La Cite Collegiale,Dental Assisting (levels I And Ii),16,41629,C-41629,,,
Niagara College,Dental Assisting (levels I And Ii),48,41629,C-41629,,,
St. Clair College,Dental Assisting (levels I And Ii),57,41629,C-41629,,,
Seneca College,911 And Emergency Response,41,41634,C-41634,,,
Fanshawe College,Emergency Telecommunications,31,41636,C-41636,,,
Humber College,Emergency Telecommunications,38,41636,C-41636,,,
Algonquin College,Paramedic,107,41637,C-41637,,,
Cambrian College,Paramedic,77,41637,C-41637,,,
Centennial College,Paramedic,80,41637,C-41637,,,
College Boreal,Paramedic,25,41637,C-41637,,,
Conestoga College,Paramedic,75,41637,C-41637,,,
Confederation College,Paramedic,51,41637,C-41637,,,
Durham College,Paramedic,60,41637,C-41637,,,
Fanshawe College,Paramedic,84,41637,C-41637,,,
Georgian College,Paramedic,72,41637,C-41637,,,
Humber College,Paramedic,115,41637,C-41637,,,
La Cite Collegiale,Paramedic,51,41637,C-41637,,,
Lambton College,Paramedic,91,41637,C-41637,,,
Niagara College,Paramedic,91,41637,C-41637,,,
Northern College,Paramedic,60,41637,C-41637,,,
Sir Sandford Fleming College,Paramedic,55,41637,C-41637,,,
St. Clair College,Paramedic,100,41637,C-41637,,,
St. Lawrence College,Paramedic,83,41637,C-41637,,,
Lambton College,Developmental Disabilities,N/A,41641,C-41641,,,
Cambrian College,Art Fundamentals,30,41800,C-41800,,,
Centennial College,Art Fundamentals,49,41800,C-41800,,,
College Boreal,Art Fundamentals,10,41800,C-41800,,,
Conestoga College,Art Fundamentals,63,41800,C-41800,,,
Durham College,Art Fundamentals,54,41800,C-41800,,,
Fanshawe College,Art Fundamentals,75,41800,C-41800,,,
George Brown College,Art Fundamentals,180,41800,C-41800,,,
Georgian College,Art Fundamentals,49,41800,C-41800,,,
Humber College,Art Fundamentals,105,41800,C-41800,,,
Loyalist College,Art Fundamentals,32,41800,C-41800,,,
Mohawk College,Art Fundamentals,56,41800,C-41800,,,
Niagara College,Art Fundamentals,38,41800,C-41800,,,
Seneca College,Art Fundamentals,133,41800,C-41800,,,
Sheridan College,Art Fundamentals,366,41800,C-41800,,,
Sir Sandford Fleming College,Art Fundamentals,13,41800,C-41800,,,
Sir Sandford Fleming College,Artist Blacksmith,12,41802,C-41802,,,
Sir Sandford Fleming College,Ceramics,15,41803,C-41803,,,
Sir Sandford Fleming College,Textile Surface Design,N/A,41804,C-41804,,,
Sir Sandford Fleming College,Glassblowing,N/A,41805,C-41805,,,
George Brown College,Jewellery Essentials,13,41806,C-41806,,,
Sir Sandford Fleming College,Jewellery Essentials,N/A,41806,C-41806,,,
George Brown College,Gemmology,14,41808,C-41808,,,
Sir Sandford Fleming College,Digital Image Design,N/A,41814,C-41814,,,
Seneca College,Fashion Studies,21,41823,C-41823,,,
Sir Sandford Fleming College,Photographic Laboratory Operator,N/A,41831,C-41831,,,
Humber College,Media Fundamentals,226,41903,C-41903,,,
Sheridan College,Media Fundamentals,193,41903,C-41903,,,
Centennial College,Pre-media,50,41904,C-41904,,,
Conestoga College,Pre-media,28,41904,C-41904,,,
Durham College,Pre-media,31,41904,C-41904,,,
La Cite Collegiale,Pre-media,N/A,41904,C-41904,,,
Loyalist College,Pre-media,N/A,41904,C-41904,,,
Mohawk College,Pre-media,46,41904,C-41904,,,
Seneca College,Pre-media,39,41904,C-41904,,,
Humber College,Pre-music,39,41907,C-41907,,,
Mohawk College,Pre-music,42,41907,C-41907,,,
College Boreal,Pre - Theatre Arts,N/A,41911,C-41911,,,
Sheridan College,Pre - Theatre Arts,75,41911,C-41911,,,
George Brown College,Commercial Dance Studies,15,41918,C-41918,,,
George Brown College,Dance Performance Preparation,18,41919,C-41919,,,
Sir Sandford Fleming College,Outdoor Adventure Skills,21,42201,C-42201,,,
Canadore College,Rural Recreation,N/A,42203,C-42203,,,
Sheridan College,Fundamentals of Fitness Leadership,36,42209,C-42209,,,
St. Clair College,Fundamentals of Fitness Leadership,28,42209,C-42209,,,
Centennial College,Court Reporting - Stenomask,28,42305,C-42305,,,
Durham College,Court Reporting - Stenomask,34,42305,C-42305,,,
Algonquin College,Office Administration - Legal,38,42306,C-42306,,,
Centennial College,Office Administration - Legal,39,42306,C-42306,,,
Conestoga College,Office Administration - Legal,55,42306,C-42306,,,
Durham College,Office Administration - Legal,41,42306,C-42306,,,
Mohawk College,Office Administration - Legal,110,42306,C-42306,,,
Seneca College,Office Administration - Legal,25,42306,C-42306,,,
Sheridan College,Office Administration - Legal,37,42306,C-42306,,,
St. Clair College,Office Administration - Legal,51,42306,C-42306,,,
St. Lawrence College,Office Administration - Legal,77,42306,C-42306,,,
Algonquin College,Office Administration - Medical,25,42308,C-42308,,,
Centennial College,Office Administration - Medical,150,42308,C-42308,,,
Conestoga College,Office Administration - Medical,N/A,42308,C-42308,,,
Durham College,Office Administration - Medical,96,42308,C-42308,,,
Fanshawe College,Office Administration - Medical,155,42308,C-42308,,,
George Brown College,Office Administration - Medical,152,42308,C-42308,,,
Georgian College,Office Administration - Medical,125,42308,C-42308,,,
Lambton College,Office Administration - Medical,44,42308,C-42308,,,
Mohawk College,Office Administration - Medical,196,42308,C-42308,,,
Niagara College,Office Administration - Medical,88,42308,C-42308,,,
Seneca College,Office Administration - Medical,165,42308,C-42308,,,
Sheridan College,Office Administration - Medical,121,42308,C-42308,,,
St. Clair College,Office Administration - Medical,77,42308,C-42308,,,
St. Lawrence College,Office Administration - Medical,60,42308,C-42308,,,
Algonquin College,Office Administration - General,181,42313,C-42313,,,
Canadore College,Office Administration - General,N/A,42313,C-42313,,,
Centennial College,Office Administration - General,23,42313,C-42313,,,
College Boreal,Office Administration - General,30,42313,C-42313,,,
Conestoga College,Office Administration - General,29,42313,C-42313,,,
Confederation College,Office Administration - General,24,42313,C-42313,,,
Durham College,Office Administration - General,17,42313,C-42313,,,
Fanshawe College,Office Administration - General,26,42313,C-42313,,,
Georgian College,Office Administration - General,36,42313,C-42313,,,
Humber College,Office Administration - General,28,42313,C-42313,,,
La Cite Collegiale,Office Administration - General,14,42313,C-42313,,,
Lambton College,Office Administration - General,14,42313,C-42313,,,
Mohawk College,Office Administration - General,46,42313,C-42313,,,
Niagara College,Office Administration - General,N/A,42313,C-42313,,,
Northern College,Office Administration - General,21,42313,C-42313,,,
Sheridan College,Office Administration - General,N/A,42313,C-42313,,,
Sir Sandford Fleming College,Office Administration - General,22,42313,C-42313,,,
St. Clair College,Office Administration - General,125,42313,C-42313,,,
St. Lawrence College,Office Administration - General,23,42313,C-42313,,,
Algonquin College,Office Administration - Executive,81,42316,C-42316,,,
Centennial College,Office Administration - Executive,44,42316,C-42316,,,
College Boreal,Office Administration - Executive,12,42316,C-42316,,,
Conestoga College,Office Administration - Executive,91,42316,C-42316,,,
Durham College,Office Administration - Executive,41,42316,C-42316,,,
Fanshawe College,Office Administration - Executive,54,42316,C-42316,,,
Georgian College,Office Administration - Executive,57,42316,C-42316,,,
La Cite Collegiale,Office Administration - Executive,56,42316,C-42316,,,
Lambton College,Office Administration - Executive,39,42316,C-42316,,,
Mohawk College,Office Administration - Executive,118,42316,C-42316,,,
Niagara College,Office Administration - Executive,49,42316,C-42316,,,
Northern College,Office Administration - Executive,N/A,42316,C-42316,,,
Sault College,Office Administration - Executive,21,42316,C-42316,,,
Seneca College,Office Administration - Executive,60,42316,C-42316,,,
Sheridan College,Office Administration - Executive,65,42316,C-42316,,,
Sir Sandford Fleming College,Office Administration - Executive,28,42316,C-42316,,,
St. Clair College,Office Administration - Executive,37,42316,C-42316,,,
Durham College,Dental Office Administration,37,42320,C-42320,,,
George Brown College,Dental Office Administration,60,42320,C-42320,,,
Niagara College,Dental Office Administration,25,42320,C-42320,,,
Conestoga College,Bookkeeping,26,42400,C-42400,,,
Georgian College,Bookkeeping,29,42400,C-42400,,,
Centennial College,Accounting Clerk - Microcomputer,15,42401,C-42401,,,
La Cite Collegiale,Computer Operator,18,42509,C-42509,,,
Centennial College,Investment Sales Assistant,12,42801,C-42801,,,
Centennial College,Contact Centre Operations,12,42903,C-42903,,,
La Cite Collegiale,Sales,N/A,42936,C-42936,,,
La Cite Collegiale,Protective Security,12,43001,C-43001,,,
Algonquin College,Pre-service Firefighter Education And Training,58,43006,C-43006,,,
Cambrian College,Pre-service Firefighter Education And Training,N/A,43006,C-43006,,,
Centennial College,Pre-service Firefighter Education And Training,27,43006,C-43006,,,
Conestoga College,Pre-service Firefighter Education And Training,88,43006,C-43006,,,
Confederation College,Pre-service Firefighter Education And Training,17,43006,C-43006,,,
Durham College,Pre-service Firefighter Education And Training,58,43006,C-43006,,,
Georgian College,Pre-service Firefighter Education And Training,56,43006,C-43006,,,
Humber College,Pre-service Firefighter Education And Training,65,43006,C-43006,,,
La Cite Collegiale,Pre-service Firefighter Education And Training,13,43006,C-43006,,,
Lambton College,Pre-service Firefighter Education And Training,59,43006,C-43006,,,
Northern College,Pre-service Firefighter Education And Training,N/A,43006,C-43006,,,
Seneca College,Pre-service Firefighter Education And Training,96,43006,C-43006,,,
Sir Sandford Fleming College,Pre-service Firefighter Education And Training,46,43006,C-43006,,,
St. Clair College,Pre-service Firefighter Education And Training,22,43006,C-43006,,,
St. Lawrence College,Pre-service Firefighter Education And Training,28,43006,C-43006,,,
Cambrian College,Law And Security - Basic,23,43007,C-43007,,,
La Cite Collegiale,Law And Security - Basic,29,43007,C-43007,,,
Mohawk College,Law And Security - Basic,41,43007,C-43007,,,
Durham College,Emergency Services Fundamentals,44,43015,C-43015,,,
Centennial College,Hospitality Foundations,N/A,43103,C-43103,,,
Seneca College,Hospitality Foundations,14,43103,C-43103,,,
Algonquin College,Baking - Pre-employment,75,43106,C-43106,,,
Cambrian College,Baking - Pre-employment,N/A,43106,C-43106,,,
Centennial College,Baking - Pre-employment,20,43106,C-43106,,,
George Brown College,Baking - Pre-employment,N/A,43106,C-43106,,,
Niagara College,Baking - Pre-employment,24,43106,C-43106,,,
Algonquin College,Culinary Skills - Chef Training,98,43107,C-43107,,,
Canadore College,Culinary Skills - Chef Training,24,43107,C-43107,,,
Centennial College,Culinary Skills - Chef Training,10,43107,C-43107,,,
College Boreal,Culinary Skills - Chef Training,11,43107,C-43107,,,
Conestoga College,Culinary Skills - Chef Training,25,43107,C-43107,,,
Durham College,Culinary Skills - Chef Training,33,43107,C-43107,,,
Fanshawe College,Culinary Skills - Chef Training,51,43107,C-43107,,,
George Brown College,Culinary Skills - Chef Training,209,43107,C-43107,,,
Georgian College,Culinary Skills - Chef Training,43,43107,C-43107,,,
Humber College,Culinary Skills - Chef Training,63,43107,C-43107,,,
La Cite Collegiale,Culinary Skills - Chef Training,17,43107,C-43107,,,
Loyalist College,Culinary Skills - Chef Training,18,43107,C-43107,,,
Niagara College,Culinary Skills - Chef Training,57,43107,C-43107,,,
Sault College,Culinary Skills - Chef Training,11,43107,C-43107,,,
Sir Sandford Fleming College,Culinary Skills - Chef Training,N/A,43107,C-43107,,,
St. Lawrence College,Culinary Skills - Chef Training,16,43107,C-43107,,,
Algonquin College,Bartending,42,43108,C-43108,,,
Conestoga College,Bartending,13,43108,C-43108,,,
Centennial College,Hospitality And Tourism,23,43200,C-43200,,,
George Brown College,Hospitality And Tourism,22,43200,C-43200,,,
Conestoga College,Food And Beverage Service,N/A,43201,C-43201,,,
Humber College,Food And Beverage Service,12,43201,C-43201,,,
Centennial College,Food Service Worker,53,43203,C-43203,,,
Conestoga College,Food Service Worker,N/A,43203,C-43203,,,
Canadore College,Travel Counsellor,14,43205,C-43205,,,
Seneca College,Travel Counsellor,31,43205,C-43205,,,
Georgian College,Ski Area Operations,N/A,43217,C-43217,,,
Niagara College,Hairstyling Techniques,46,43400,C-43400,,,
Seneca College,Flight Services,15,43601,C-43601,,,
Seneca College,Retail Florist,26,43901,C-43901,,,
Niagara College,Landscape And Horticultural Techniques,N/A,43905,C-43905,,,
Humber College,Urban Arboriculture,N/A,43906,C-43906,,,
Sir Sandford Fleming College,Urban Arboriculture,73,43906,C-43906,,,
La Cite Collegiale,Forestry Worker,N/A,44203,C-44203,,,
Georgian College,Manufacturing Techniques - Wood Products,35,44300,C-44300,,,
Sir Sandford Fleming College,Blasting Techniques,64,44403,C-44403,,,
Confederation College,Mining And Mineral Processing,29,44411,C-44411,,,
Cambrian College,Mining Foundations,N/A,44413,C-44413,,,
Algonquin College,General Arts And Science - One-year,1313,44700,C-44700,,,
Cambrian College,General Arts And Science - One-year,24,44700,C-44700,,,
Canadore College,General Arts And Science - One-year,79,44700,C-44700,,,
Centennial College,General Arts And Science - One-year,149,44700,C-44700,,,
College Boreal,General Arts And Science - One-year,N/A,44700,C-44700,,,
Conestoga College,General Arts And Science - One-year,85,44700,C-44700,,,
Confederation College,General Arts And Science - One-year,75,44700,C-44700,,,
Durham College,General Arts And Science - One-year,421,44700,C-44700,,,
Fanshawe College,General Arts And Science - One-year,668,44700,C-44700,,,
George Brown College,General Arts And Science - One-year,179,44700,C-44700,,,
Georgian College,General Arts And Science - One-year,51,44700,C-44700,,,
Humber College,General Arts And Science - One-year,720,44700,C-44700,,,
La Cite Collegiale,General Arts And Science - One-year,65,44700,C-44700,,,
Lambton College,General Arts And Science - One-year,32,44700,C-44700,,,
Loyalist College,General Arts And Science - One-year,26,44700,C-44700,,,
Mohawk College,General Arts And Science - One-year,168,44700,C-44700,,,
Niagara College,General Arts And Science - One-year,219,44700,C-44700,,,
Northern College,General Arts And Science - One-year,11,44700,C-44700,,,
Sault College,General Arts And Science - One-year,36,44700,C-44700,,,
Seneca College,General Arts And Science - One-year,744,44700,C-44700,,,
Sheridan College,General Arts And Science - One-year,332,44700,C-44700,,,
Sir Sandford Fleming College,General Arts And Science - One-year,212,44700,C-44700,,,
St. Clair College,General Arts And Science - One-year,66,44700,C-44700,,,
St. Lawrence College,General Arts And Science - One-year,183,44700,C-44700,,,
Confederation College,General Vocational Preparation,29,44701,C-44701,,,
Cambrian College,Pre-technology,33,44702,C-44702,,,
Centennial College,Pre-technology,14,44702,C-44702,,,
Conestoga College,Pre-technology,58,44702,C-44702,,,
Confederation College,Pre-technology,71,44702,C-44702,,,
Durham College,Pre-technology,99,44702,C-44702,,,
Fanshawe College,Pre-technology,74,44702,C-44702,,,
Lambton College,Pre-technology,40,44702,C-44702,,,
Mohawk College,Pre-technology,98,44702,C-44702,,,
Northern College,Pre-technology,N/A,44702,C-44702,,,
Sault College,Pre-technology,37,44702,C-44702,,,
Seneca College,Pre-technology,91,44702,C-44702,,,
Sheridan College,Pre-technology,14,44702,C-44702,,,
St. Clair College,Pre-technology,103,44702,C-44702,,,
Algonquin College,Welding Techniques,59,44900,C-44900,,,
College Boreal,Welding Techniques,14,44900,C-44900,,,
Conestoga College,Welding Techniques,39,44900,C-44900,,,
Confederation College,Welding Techniques,73,44900,C-44900,,,
Durham College,Welding Techniques,77,44900,C-44900,,,
Fanshawe College,Welding Techniques,45,44900,C-44900,,,
Georgian College,Welding Techniques,54,44900,C-44900,,,
Lambton College,Welding Techniques,20,44900,C-44900,,,
Loyalist College,Welding Techniques,11,44900,C-44900,,,
Niagara College,Welding Techniques,10,44900,C-44900,,,
Sault College,Welding Techniques,N/A,44900,C-44900,,,
Sheridan College,Welding Techniques,44,44900,C-44900,,,
Sir Sandford Fleming College,Welding Techniques,38,44900,C-44900,,,
St. Clair College,Welding Techniques,62,44900,C-44900,,,
St. Lawrence College,Welding Techniques,21,44900,C-44900,,,
Algonquin College,Aviation Techniques - Aircraft Maintenance,37,45211,C-45211,,,
Cambrian College,"Heating, Air Conditioning And Refrigeration Techniques",62,45500,C-45500,,,
Durham College,"Heating, Air Conditioning And Refrigeration Techniques",94,45500,C-45500,,,
Durham College,Gas Technician 2,39,45501,C-45501,,,
Mohawk College,Gas And Oil Burner Technician 2,45,45502,C-45502,,,
Mohawk College,"Heating, Refrigeration And Air Conditioning Techniques",71,45504,C-45504,,,
Georgian College,Gas Technician,49,45505,C-45505,,,
Conestoga College,Renewable Energy Techniques,18,45550,C-45550,,,
Cambrian College,Electrical Techniques,94,45613,C-45613,,,
Canadore College,Electrical Techniques,46,45613,C-45613,,,
College Boreal,Electrical Techniques,51,45613,C-45613,,,
Durham College,Electrical Techniques,N/A,45613,C-45613,,,
Fanshawe College,Electrical Techniques,143,45613,C-45613,,,
George Brown College,Electrical Techniques,44,45613,C-45613,,,
Georgian College,Electrical Techniques,55,45613,C-45613,,,
Humber College,Electrical Techniques,72,45613,C-45613,,,
La Cite Collegiale,Electrical Techniques,45,45613,C-45613,,,
Lambton College,Electrical Techniques,20,45613,C-45613,,,
Loyalist College,Electrical Techniques,10,45613,C-45613,,,
Niagara College,Electrical Techniques,66,45613,C-45613,,,
Sheridan College,Electrical Techniques,185,45613,C-45613,,,
Sir Sandford Fleming College,Electrical Techniques,27,45613,C-45613,,,
