#AGGR_TYPE_CD,S_MTCU,OCCPTN_GRP_CD,OCCPTN_SGRP_CD,COLL_RGN_CD,COLL_CD,NAICS_CODE_RANK,NAICS_CODE_PERCENTAGE,NAICS_CODE,NAICS_DESCRIPTION_ENGLISH,NAICS_DESCRIPTION_FRENCH
Cl,-1,B,B14,-1,-1,2,6,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,B,B14,-1,-1,2,6,911,Federal government public administration,Administration publique fédérale
Cl,-1,B,B14,-1,-1,5,5,522,Credit intermediation and related activities,Intermédiation financière et activités connexes
Cl,-1,B,B15,-1,-1,1,82,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,B,B15,-1,-1,2,3,911,Federal government public administration,Administration publique fédérale
Cl,-1,B,B15,-1,-1,2,3,912,Provincial and territorial public administration,Administrations publiques provinciales et territoriales
Cl,-1,B,B15,-1,-1,4,2,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,B,B15,-1,-1,5,2,524,Insurance carriers and related activities,Sociétés d'assurance et activités connexes
Cl,-1,B,B16,-1,-1,1,37,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,B,B16,-1,-1,2,13,721,Accommodation services,Services d'hébergement
Cl,-1,B,B16,-1,-1,3,10,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,B,B16,-1,-1,4,4,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,B,B16,-1,-1,4,4,813,"Religious, grant-making, civic, and professional and similar organizations","Organismes religieux, fondations, groupes de citoyens et organisations professionnelles et similaires"
Cl,-1,B,B17,-1,-1,1,37,721,Accommodation services,Services d'hébergement
Cl,-1,B,B17,-1,-1,2,35,722,Food services and drinking places,Services de restauration et débits de boissons
Cl,-1,B,B17,-1,-1,3,7,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,B,B17,-1,-1,4,4,713,"Amusement, gambling and recreation industries","Divertissement, loisirs, jeux de hasard et loteries"
Cl,-1,B,B17,-1,-1,5,3,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,B,B18,-1,-1,1,48,481,Air transportation,Transport aérien
Cl,-1,B,B18,-1,-1,2,21,488,Support activities for transportation,Activités de soutien au transport
Cl,-1,B,B18,-1,-1,3,6,336,Transportation equipment manufacturing,Fabrication de matériel de transport
Cl,-1,B,B18,-1,-1,3,6,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,B,B18,-1,-1,3,6,611,Educational services,Services d'enseignement
Cl,-1,H,H01,-1,-1,1,54,621,Ambulatory health care services,Services de soins de santé ambulatoires
Cl,-1,H,H01,-1,-1,2,15,812,Personal and laundry services,Services personnels et services de blanchissage
Cl,-1,H,H01,-1,-1,3,6,485,Transit and ground passenger transportation,Transport en commun et transport terrestre de voyageurs
Cl,-1,H,H01,-1,-1,4,5,913,"Local, municipal and regional public administration","Administrations publiques locales, municipales et régionales"
Cl,-1,H,H01,-1,-1,5,4,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,H,H02,-1,-1,1,79,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,H,H02,-1,-1,2,9,812,Personal and laundry services,Services personnels et services de blanchissage
Cl,-1,H,H02,-1,-1,3,4,453,Miscellaneous store retailers,Magasins de détail divers
Cl,-1,H,H02,-1,-1,4,2,622,Hospitals,Hôpitaux
Cl,-1,H,H02,-1,-1,5,1,611,Educational services,Services d'enseignement
Cl,-1,H,H03,-1,-1,1,48,621,Ambulatory health care services,Services de soins de santé ambulatoires
Cl,-1,H,H03,-1,-1,2,23,622,Hospitals,Hôpitaux
Cl,-1,H,H03,-1,-1,3,18,446,Health and personal care stores,Magasins de produits de santé et de soins personnels
Cl,-1,H,H03,-1,-1,4,2,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,H,H03,-1,-1,5,2,339,Miscellaneous manufacturing,Activités diverses de fabrication
Cl,-1,H,H04,-1,-1,2,36,622,Hospitals,Hôpitaux
Cl,-1,H,H04,-1,-1,1,41,623,Nursing and residential care facilities,Établissements de soins infirmiers et de soins pour bénéficiaires internes
Cl,-1,H,H04,-1,-1,3,15,621,Ambulatory health care services,Services de soins de santé ambulatoires
Cl,-1,H,H04,-1,-1,4,6,624,Social assistance,Assistance sociale
Cl,-1,H,H04,-1,-1,5,1,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,T,T01,-1,-1,1,48,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,T,T01,-1,-1,2,21,236,Construction of buildings,Construction de bâtiments
Cl,-1,T,T01,-1,-1,3,13,238,Specialty trade contractors,Entrepreneurs spécialisés
Cl,-1,T,T01,-1,-1,4,2,332,Fabricated metal product manufacturing,Fabrication de produits métalliques
Cl,-1,T,T01,-1,-1,5,2,913,"Local, municipal and regional public administration","Administrations publiques locales, municipales et régionales"
Cl,-1,T,T02,-1,-1,1,30,811,Repair and maintenance,Réparation et entretien
Cl,-1,T,T02,-1,-1,2,22,441,Motor vehicle and parts dealers,Concessionnaires de véhicules et de pièces automobiles
Cl,-1,T,T02,-1,-1,3,6,238,Specialty trade contractors,Entrepreneurs spécialisés
Cl,-1,T,T02,-1,-1,4,5,417,"Machinery, equipment and supplies merchant wholesalers","Grossistes-marchands de machines, de matériel et de fournitures"
Cl,-1,T,T02,-1,-1,5,4,237,Heavy and civil engineering construction,Travaux de génie civil
Cl,-1,T,T03,-1,-1,1,30,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,T,T03,-1,-1,2,16,325,Chemical manufacturing,Fabrication de produits chimiques
Cl,-1,T,T03,-1,-1,3,12,311,Food manufacturing,Fabrication d'aliments
Cl,-1,T,T03,-1,-1,4,6,622,Hospitals,Hôpitaux
Cl,-1,T,T03,-1,-1,5,4,312,Beverage and tobacco product manufacturing,Fabrication de boissons et de produits du tabac
Cl,-1,T,T04,-1,-1,1,27,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,T,T04,-1,-1,2,23,236,Construction of buildings,Construction de bâtiments
Cl,-1,T,T04,-1,-1,3,21,238,Specialty trade contractors,Entrepreneurs spécialisés
Cl,-1,T,T04,-1,-1,4,8,237,Heavy and civil engineering construction,Travaux de génie civil
Cl,-1,T,T04,-1,-1,5,4,913,"Local, municipal and regional public administration","Administrations publiques locales, municipales et régionales"
Cl,-1,T,T05,-1,-1,1,44,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,T,T05,-1,-1,2,11,337,Furniture and related product manufacturing,Fabrication de meubles et de produits connexes
Cl,-1,T,T05,-1,-1,3,6,336,Transportation equipment manufacturing,Fabrication de matériel de transport
Cl,-1,T,T05,-1,-1,4,5,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,T,T05,-1,-1,5,4,238,Specialty trade contractors,Entrepreneurs spécialisés
Cl,-1,T,T05,-1,-1,5,4,339,Miscellaneous manufacturing,Activités diverses de fabrication
Cl,-1,T,T06,-1,-1,1,20,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,T,T06,-1,-1,2,15,238,Specialty trade contractors,Entrepreneurs spécialisés
Cl,-1,T,T06,-1,-1,3,8,334,Computer and electronic product manufacturing,Fabrication de produits informatiques et électroniques
Cl,-1,T,T06,-1,-1,4,6,221,Utilities,Services publics
Cl,-1,T,T06,-1,-1,5,4,517,Telecommunications,Télécommunications
Cl,-1,T,T07,-1,-1,1,27,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,T,T07,-1,-1,2,19,336,Transportation equipment manufacturing,Fabrication de matériel de transport
Cl,-1,T,T07,-1,-1,3,7,332,Fabricated metal product manufacturing,Fabrication de produits métalliques
Cl,-1,T,T07,-1,-1,4,5,325,Chemical manufacturing,Fabrication de produits chimiques
Cl,-1,T,T07,-1,-1,4,5,331,Primary metal manufacturing,Première transformation des métaux
Cl,-1,T,T08,-1,-1,1,14,221,Utilities,Services publics
Cl,-1,T,T08,-1,-1,2,13,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,T,T08,-1,-1,3,8,238,Specialty trade contractors,Entrepreneurs spécialisés
Cl,-1,T,T08,-1,-1,4,7,324,Petroleum and coal product manufacturing,Fabrication de produits du pétrole et du charbon
Cl,-1,T,T08,-1,-1,5,6,322,Paper manufacturing,Fabrication du papier
Cl,-1,T,T08,-1,-1,5,6,325,Chemical manufacturing,Fabrication de produits chimiques
Cl,-1,T,T09,-1,-1,1,28,238,Specialty trade contractors,Entrepreneurs spécialisés
Cl,-1,T,T09,-1,-1,2,11,333,Machinery manufacturing,Fabrication de machines
Cl,-1,T,T09,-1,-1,3,10,336,Transportation equipment manufacturing,Fabrication de matériel de transport
Cl,-1,T,T09,-1,-1,4,8,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,T,T09,-1,-1,5,6,332,Fabricated metal product manufacturing,Fabrication de produits métalliques
Cl,-1,T,T10,-1,-1,1,28,221,Utilities,Services publics
Cl,-1,T,T10,-1,-1,2,15,331,Primary metal manufacturing,Première transformation des métaux
Cl,-1,T,T10,-1,-1,3,8,322,Paper manufacturing,Fabrication du papier
Cl,-1,T,T10,-1,-1,4,7,238,Specialty trade contractors,Entrepreneurs spécialisés
Cl,-1,T,T10,-1,-1,5,5,324,Petroleum and coal product manufacturing,Fabrication de produits du pétrole et du charbon
Cl,-1,T,T11,-1,-1,1,34,541,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques"
Cl,-1,T,T11,-1,-1,2,10,221,Utilities,Services publics
Cl,-1,T,T11,-1,-1,3,5,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,T,T11,-1,-1,4,5,913,"Local, municipal and regional public administration","Administrations publiques locales, municipales et régionales"
Cl,-1,T,T11,-1,-1,5,4,238,Specialty trade contractors,Entrepreneurs spécialisés
Cl,-1,T,T12,-1,-1,1,43,238,Specialty trade contractors,Entrepreneurs spécialisés
Cl,-1,T,T12,-1,-1,2,23,236,Construction of buildings,Construction de bâtiments
Cl,-1,T,T12,-1,-1,3,19,337,Furniture and related product manufacturing,Fabrication de meubles et de produits connexes
Cl,-1,T,T12,-1,-1,4,3,444,Building material and garden equipment and supplies dealers,Marchands de matériaux de construction et de matériel et fournitures de jardinage
Cl,-1,T,T12,-1,-1,5,2,321,Wood product manufacturing,Fabrication de produits en bois
Cl,-1,T,T13,-1,-1,1,18,332,Fabricated metal product manufacturing,Fabrication de produits métalliques
Cl,-1,T,T13,-1,-1,2,16,333,Machinery manufacturing,Fabrication de machines
Cl,-1,T,T13,-1,-1,3,16,336,Transportation equipment manufacturing,Fabrication de matériel de transport
Cl,-1,T,T13,-1,-1,4,14,238,Specialty trade contractors,Entrepreneurs spécialisés
Cl,-1,T,T13,-1,-1,5,8,811,Repair and maintenance,Réparation et entretien
Cl,-1,T,T14,-1,-1,1,35,336,Transportation equipment manufacturing,Fabrication de matériel de transport
Cl,-1,T,T14,-1,-1,2,24,481,Air transportation,Transport aérien
Cl,-1,T,T14,-1,-1,3,15,488,Support activities for transportation,Activités de soutien au transport
Cl,-1,T,T14,-1,-1,4,8,911,Federal government public administration,Administration publique fédérale
Cl,-1,T,T14,-1,-1,5,3,811,Repair and maintenance,Réparation et entretien
Cl,-1,T,T15,-1,-1,1,50,481,Air transportation,Transport aérien
Cl,-1,T,T15,-1,-1,2,33,611,Educational services,Services d'enseignement
Cl,-1,T,T15,-1,-1,3,10,488,Support activities for transportation,Activités de soutien au transport
Cl,-1,T,T15,-1,-1,4,2,561,Administrative and support services,Services administratifs et services de soutien
Cl,-1,T,T15,-1,-1,5,1,333,Machinery manufacturing,Fabrication de machines
Cl,-1,T,T15,-1,-1,5,1,336,Transportation equipment manufacturing,Fabrication de matériel de transport
