2006 NOC,TITLE,2013 OJF Rating
6261,Police officers (except commissioned)                                              ,Average
6262,Fire-fighters                                                                      ,Average
6271,Hairstylists and barbers                                                           ,Average
6272,Funeral directors and embalmers                                                    ,Average
6421,Retail salespersons and sales clerks                                               ,Average
6431,Travel counsellors                                                                 ,Below Average
6453,Food and beverage servers                                                          ,Above Average
6471,"Visiting homemakers, housekeepers and related occupations                          ",Above Average
6472,Elementary and secondary school teacher assistants                                 ,Average
7231,Machinists and machining and tooling inspectors                     ,Average
7232,Tool and die makers                                                 ,Average
7241,Electricians (except industrial and power system)                   ,Above Average
7242,Industrial electricians                                             ,Average
7243,Power system electricians                                           ,Average
7244,Electrical power line and cable workers                             ,Average
7246,Telecommunications installation and repair workers                  ,Average
7251,Plumbers                                                            ,Average
7252,"Steamfitters, pipefitters and sprinkler system installers           ",Average
7253,Gas fitters                                                         ,Average
7261,Sheet metal workers                                                 ,Average
7262,Boilermakers                                                        ,Above Average
7263,Structural metal and platework fabricators and fitters              ,Average
7264,Ironworkers                                                         ,Average
7265,Welders and related machine operators                               ,Average
7271,Carpenters                                                          ,Average
7272,Cabinetmakers                                                       ,Below Average
7281,Bricklayers                                                         ,Average
7282,Concrete finishers                                                  ,Average
7283,Tilesetters                                                         ,Average
7284,"Plasterers, drywall installers and finishers, and lathers           ",Average
7291,Roofers and shinglers                                               ,Average
7292,Glaziers                                                            ,Average
7294,Painters and decorators                                             ,Average
7295,Floor covering installers                                           ,Average
7311,Construction millwrights and industrial mechanics (except textile)  ,Above Average
7312,Heavy-duty equipment mechanics                                      ,Average
7313,Refrigeration and air conditioning mechanics                        ,Above Average
7315,Aircraft mechanics and aircraft inspectors                          ,Average
7316,Machine fitters                                                     ,Average
7318,Elevator constructors and mechanics                                 ,Average
7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers                      ",Below Average
7322,Motor vehicle body repairers                                       ,Below Average
7332,Electric appliance servicers and repairers                         ,Below Average
7333,Electrical mechanics                                               ,Average
7334,Motorcycle and other related mechanics                             ,Average
7351,Stationary engineers and auxiliary equipment operators             ,Average
7352,Power systems and power station operators                          ,Average
7371,Crane operators                                                    ,Above Average
7372,"Drillers and blasters - surface mining, quarrying and construction ",Average
7411,Truck drivers                                                      ,Above Average
7421,Heavy equipment operators (except crane)                           ,Average
7442,Waterworks and gas maintenance workers                             ,Average
8221,"Supervisors, mining and quarrying                                  ",Average
8231,Underground production and development miners                      ,Average
8251,Farmers and farm managers                                          ,Average
8254,Nursery and greenhouse operators and managers                      ,Average
8255,Landscaping and grounds maintenance contractors and managers       ,Above Average
8411,Underground mine service and support workers                       ,Average
9234,Papermaking and coating control operators                          ,Average
9422,Plastics processing machine operators                              ,Below Average
9451,Sewing machine operators                                           ,Below Average
9481,Aircraft assemblers and aircraft assembly inspectors                          ,Average
9482,"Motor vehicle assemblers, inspectors and testers                              ",Average
9483,"Electronics assemblers, fabricators, inspectors and testers                   ",Average
9484,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing                ",Below Average
9511,Machining tool operators                                              ,Average
9514,Metalworking machine operators                                        ,Average
